Time (min),C (md.ft),Inj. P (psi)
446.01,87.81,21.4
447.01,91.24,21.4
448.01,89.51,21.4
449.01,89.12,21.4
450.01,90.99,21.2
451.01,89.84,21.4
452.01,91.15,21.4
453.01,90.04,21.2
454.01,89.71,21.4
455.01,88.16,21.4
456.01,87.91,21.2
457.01,87.77,21.2
458.01,88.56,21.4
459.01,91.06,21.2
460.01,93.8,21.2
461.01,93.25,21.2
462.01,94.56,21.4
463.01,94.46,21.4
464.01,95.75,21.2
465.01,95.75,21.2
466.01,96.02,21.2
467.01,96.9,21.2
468.01,96.26,21.2
469.01,96.42,21.2
470.01,95.68,21.2
471.01,96.22,21.2
472.01,95.9,21.2
473.01,95.9,21
474.01,95.92,21.2
475.01,95.6,21.2
476.01,96.5,21.2
477.01,96.59,21.2
478.01,96.31,21
479.01,97.43,21.2
480.01,95.95,21
481.01,96.74,21.2
482.01,97.62,21
483.01,95.88,21.2
484.01,95.41,21.2
485.01,95.32,21
486.01,95.66,21
487.01,96.13,21
488.01,96.64,21
489.01,96.73,21
490.01,94.62,21.2
491.01,96.98,21.2
492.01,95.58,21
493.01,94.9,21.2
494.01,96.45,21.2
495.01,96.28,21.2
496.01,96.48,21
497.01,96.12,21.2
498.01,94.71,21.2
499.01,91.86,21.2
500.01,95.47,21.2
501.01,94.3,21.2
502.01,94.86,21.2
503.01,96.84,21.2
504.01,97.62,21
505.01,97.85,21
506.01,96.45,21
507.01,95.29,21.2
508.01,95.93,21.2
509.01,97,21
510.01,96.46,21.2
511.01,97.83,21
512.01,96.62,21
513.01,95.54,21.2
514.01,93.24,21.2
515.01,97.51,21.2
516.01,95.44,21.2
517.01,95.94,21.2
518.01,95.61,21.2
519.01,98.04,21.2
520.01,98.11,21.2
521.01,96.47,21
522.01,96.16,21
523.01,95.89,21
524.01,95.22,21
525.01,94.13,21
526.01,93.89,21
527.01,96.27,21
528.01,96.25,21
529.01,95.86,21
530.01,95.9,21
531.01,96.21,21.2
532.01,95.3,21
533.01,96.28,21.2
534.01,97,21.2
535.01,97.34,21.2
536.01,95.24,21
537.01,96.37,21.2
538.01,95.53,21
539.01,95.54,21.2
540.01,94.95,21.2
541.01,96.39,21.2
542.01,95.17,21.2
543.01,93.39,21.2
544.01,94.57,21.2
545.01,95.42,21
546.01,93.07,21.2
547.01,94.18,21.2
548.01,92.22,21.2
549.01,90.83,21.2
550.01,90.59,21.2
551.01,90.2,21.2
552.01,89.72,21.2
553.01,88.34,21.2
554.01,86.84,21.2
555.01,88.46,21.2
556.01,94.5,21.2
557.01,96.43,21
558.01,97.58,21
559.01,97.06,21.2
560.01,97.76,21
561.01,96.01,21
562.01,96.52,21
563.01,96.82,21
564.01,95.61,21
565.01,95.08,21
566.01,96.7,21
567.01,94.85,21.2
568.01,94.31,21
569.01,97.51,21
570.01,95.15,21.2
571.01,95.69,21.2
572.01,94.74,21
573.01,96.1,21
574.01,94.68,21.2
575.01,97.22,21
576.01,93.68,21
577.01,94.9,21
578.01,95.93,21.2
579.01,95.91,21.2
580.01,95.78,21.2
581.01,93.53,21.2
582.01,91.95,21.2
583.01,91.14,21.2
584.01,92.14,21.2
585.01,94.39,21.2
586.01,93.57,21.2
587.01,93.66,21.2
588.01,93.44,21.2
589.01,93.37,21.2
590.01,93.61,21.2
591.01,92.43,21.2
592.01,92.03,21.2
593.01,91.68,21.2
594.01,90.35,21.2
595.01,89.88,21.2
596.01,88.28,21.2
597.01,89.73,21.2
598.01,89.56,21.2
599.01,88.32,21.2
600.01,98.94,21
601.01,98.57,21
602.01,97.13,21
603.01,97.3,21
604.01,96.94,21
605.01,96,21
606.01,96.39,21
607.01,96.46,21
608.01,96.58,21
609.01,94.93,21
610.01,95.44,21
611.01,96.32,21
612.01,94.94,20.8
613.01,95.58,21
614.01,95.93,21
615.01,95.88,21
616.01,95.36,21
617.01,95.16,21
618.01,93.44,21
619.01,93.62,21
620.01,95.29,21
621.01,95.32,21
622.01,94.42,21
623.01,93.95,21
624.01,94.92,21
625.01,95.22,21
626.01,94.87,21
627.01,95.54,21
628.01,95.53,21
629.01,94.94,21.2
630.01,95.27,21
631.01,94.28,21
632.01,96.21,21
633.01,93.83,21
634.01,95.33,21
635.01,95.72,21
636.01,95.11,21.2
637.01,95.08,21
638.01,94.81,21
639.01,95.35,21
640.01,94.9,21
641.01,95.04,21
642.01,95.89,21.2
643.01,94.96,21
644.01,95.48,21
645.01,94.67,21
646.01,94.8,21
647.01,93.99,21
648.01,96.75,21
649.01,94.93,21.2
650.01,93.92,21.2
651.01,93.83,21.2
652.01,94.03,21
653.01,95.53,21
654.01,96.71,21.2
655.01,95.76,21
656.01,95.47,21.2
657.01,95.76,21.2
658.01,96.47,21.2
659.01,96.64,21.2
660.01,96.35,21.2
661.01,96.31,21.2
662.01,93.21,21.2
663.01,96.5,21.2
664.01,95.55,21.2
665.01,98.2,21.2
666.01,94.46,21.2
667.01,95.87,21.2
668.01,97.41,21.2
669.01,96.05,21.2
670.01,94.58,21.2
671.01,95.4,21.2
672.01,95.2,21.2
673.01,95.45,21.2
674.01,95.64,21.2
675.01,96.3,21.2
676.01,95.67,21.2
677.01,96.6,21.2
678.01,97.46,21.2
679.01,97.56,21.2
680.01,97.07,21.2
681.01,98.06,21
682.01,94.82,21
683.01,98.33,21
684.01,96.53,21
685.01,95.32,21
686.01,95.93,21
687.01,95.77,21
688.01,95.59,21
689.01,94.04,21
690.01,93.87,21
691.01,97.02,21
692.01,94.66,20.8
693.01,95.63,21
694.01,94.38,21
695.01,95.41,21
696.01,94.69,21
697.01,96.28,21.2
698.01,94.94,21
699.01,97.18,21
700.01,95.66,21.2
701.01,95.21,21
702.01,93.83,21
703.01,94.96,21
